Year,OverallPick,Name,age,height,pos,COLLEGE,SEASON,ncaaG,ncaaMP,ncaaFGM,ncaaFGA,ncaaFGPER,ncaaM2PM,ncaa2PA,ncaa2PER,ncaa3PM,ncaa3PA,ncaa3PER,ncaaFTM,ncaaFTA,ncaaFTPER,ncaaTRB,ncaaAST,ncaaSTL,ncaaBLK,ncaaTOV,ncaaPF,ncaaPTS,nbaG,nbaMP,nbaPTS,nbaTRB,nbaAST,nbaFGPER,nba3PER,nbaFTPER,nbaMP_G,nbaPTS_G,nbaTRB_G,nbaAST_G,nbaWS,nbaWS_48,nbaBPM,nbaVORP
2007,32,Gabe Pruitt,21.075,76,Guard,University of Southern California,2006-07,26,861,4.8,11.6,0.416,2.6,5.2,0.496,2.2,6.4,0.35,3.2,3.9,0.8,3.4,5.2,2.2,0.3,,,15.1,62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-3.1,-0.1
2007,46,Stephane Lasme,24.199,80,Big,University of Massachusetts Amherst,2006-07,33,1010,6.5,10.7,0.611,6.5,10.7,0.611,0,0,,4.6,7.4,0.622,12.5,1.1,1.1,6.7,,,17.7,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-2.8,-0.1
2007,31,Carl Landry,23.288,81,Big,Purdue University,2006-07,34,1035,8.5,14.2,0.597,8.3,13.4,0.618,0.2,0.7,0.211,7.8,10.7,0.726,9.6,1.6,1.5,1.2,,,24.9,513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-1.1,2.6
2007,14,Al Thornton,23.209,80,Guard,Florida State University,2006-07,35,1092,8.9,16.8,0.53,7.6,13.9,0.549,1.3,3,0.444,6.1,7.7,0.79,9.2,0.9,1.9,1.5,,,25.3,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1
2007,52,Taurean Green,20.217,73,Guard,University of Florida,2006-07,40,1328,4.6,10.5,0.444,2.2,4.4,0.497,2.5,6.1,0.406,4.2,5,0.849,2.9,4.4,1.3,0,,,16,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-8.2,-0.1
2007,11,Acie Law,22.159,75,Guard,Texas A&M University,2006-07,34,1153,7.5,15,0.5,6.2,12.1,0.51,1.3,2.9,0.458,5,6.4,0.778,3.9,5.9,1.4,0,,,21.3,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2
2006,54,Hassan Adams,22.013,76,Guard,University of Arizona,2005-06,31,1031,9.1,19,0.478,8.4,16.5,0.511,0.7,2.5,0.262,2.3,3.7,0.611,6,3.5,3.2,0.5,,,21.1,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-4.4,-0.3
2006,18,Oleksiy Pecherov,20.207,13,,,,,,,,,,,,,,,,,,,,,,,,,1044,438,266,20,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-7,-1.3,
2006,21,Rajon Rondo,20.131,73,Guard,University of Kentucky,2005-06,34,1054,5.6,11.6,0.482,4.9,9.1,0.54,0.7,2.5,0.273,2.6,4.5,0.571,7.9,6.3,2.6,0.2,,,14.4,714,23045,7606,3483,6075,0.463,0.304,0.606,32.3,10.7,4.9,8.5,53.5,0.111,1.8,22
2006,47,Paul Millsap,21.143,80,Big,Louisiana Tech University,2005-06,33,1126,9.2,16.1,0.571,9,15.6,0.578,0.2,0.5,0.357,4.5,7.2,0.623,15.6,1.3,2.2,2.7,,,23,837,24683,11890,6254,1922,0.493,0.328,0.736,29.5,14.2,7.5,2.3,79.6,0.155,3.4,33.5
