name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Austin Croshere,,,,,,,,,,,,,,,,,,,-1.29,-1.19,-0.1,-0.63,-0.71,0.07,-1.27,-1.87,0.6,0.71,1.37,-0.66,-3.47,-0.71,-2.76,
Chris Taft,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,-0.08,0.1,,,,
Drew Gooden,0.58,0.37,0.21,-0.22,0.36,-0.58,-0.79,-0.53,-0.26,-1.97,0.96,-2.93,-1.07,-0.69,-0.38,-4.38,-1.36,-3.02,-2.09,-2.59,0.51,-0.73,-0.82,0.09,-1.68,-0.65,-1.03,-1.31,-1.67,0.35,1.27,1.35,-0.09,
Anthony Morrow,2.75,1.77,0.98,-0.26,-0.33,0.07,-1.49,-0.47,-1.02,-1.23,0.33,-1.55,-0.13,-0.57,0.45,0.08,1.1,-1.02,-0.67,1.13,-1.8,,,,,,,,,,,,,
Scot Pollard,,,,,,,,,,,,,,,,,,,,,,-0.15,0.02,-0.17,-0.67,-0.36,-0.31,0.83,0.61,0.23,2.34,0.87,1.47,
Brandon Rush,-3.66,-1.62,-2.04,-1.97,-1.17,-0.8,-0.23,-0.27,0.04,-1.29,0.7,-1.98,-3.46,-1.65,-1.81,-1.96,-2.18,0.22,-3.18,-1.79,-1.38,,,,,,,,,,,,,
Trevor Ariza,1.32,-0.56,1.88,0.83,0.17,0.66,0.02,-1.16,1.18,-1.02,-0.54,-0.48,-1.72,-1.41,-0.31,-0.27,0.25,-0.52,0.29,-0.48,0.77,-0.49,-1.16,0.67,0.28,-1.0,1.29,1.08,-0.3,1.38,-0.15,-1.03,0.88,
Anderson Varejao,-1.9,-1.22,-0.68,1.75,0.66,1.09,0.33,0.09,0.24,1.27,0.34,0.93,-0.78,-1.17,0.39,5.07,2.8,2.27,2.39,0.85,1.54,0.03,-1.16,1.19,3.46,0.66,2.8,2.11,0.59,1.52,1.1,0.42,0.69,
Stephon Marbury,,,,,,,,,,,,,,,,,,,-2.5,-1.92,-0.58,-2.12,-1.49,-0.63,-0.82,0.78,-1.6,-0.74,0.34,-1.08,2.25,3.21,-0.96,
Toure' Murry,-0.44,-0.43,-0.01,-0.05,-0.44,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Drew,-1.8,-1.33,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,,,,-0.3,-0.6,0.29,3.04,1.8,1.23,0.6,0.13,0.47,2.03,0.8,1.23,2.61,0.36,2.25,3.49,0.61,2.88,2.5,0.72,1.78,1.76,1.4,0.36,5.56,2.08,3.48,1.02,0.29,0.74,
D.J. Stephens,,,,-0.38,-0.37,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahidi White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.05,-0.1,
Marcus Camby,,,,,,,-1.24,-1.53,0.28,-0.25,0.1,-0.34,0.17,-0.52,0.69,2.36,0.58,1.78,1.29,-1.37,2.66,0.83,0.16,0.67,2.14,1.08,1.06,0.11,-1.59,1.7,0.87,-0.03,0.9,
Roger Mason,,,,-0.87,0.03,-0.89,1.21,2.34,-1.13,-1.21,0.06,-1.27,-1.58,-1.1,-0.48,-0.7,-1.05,0.34,0.45,0.69,-0.25,-0.29,0.16,-0.45,-2.17,-0.59,-1.58,,,,,,,
Ishmael Smith,-1.47,-1.34,-0.13,-0.68,-1.79,1.11,-1.58,-1.86,0.28,-1.39,-1.61,0.22,-1.74,-1.01,-0.73,,,,,,,,,,,,,,,,,,,
Jose Barea,2.04,2.17,-0.14,-1.54,-2.3,0.76,-0.79,-0.63,-0.16,-1.34,-0.72,-0.62,-0.53,-0.17,-0.36,-1.39,-0.43,-0.96,0.69,0.46,0.23,0.36,-0.42,0.78,-0.89,-0.41,-0.48,,,,,,,
DerMarr Johnson,,,,,,,,,,,,,,,,,,,,,,-0.57,-0.31,-0.25,-1.96,-2.73,0.76,-1.37,-1.25,-0.12,1.33,0.52,0.81,
Etan Thomas,,,,,,,,,,,,,-1.45,-0.54,-0.9,-1.68,-1.12,-0.56,-2.14,-1.27,-0.86,,,,-0.94,-0.14,-0.79,-1.16,-1.79,0.63,-1.94,-0.55,-1.39,
Spencer Dinwiddie,-1.86,-1.43,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Johnson,1.93,0.98,0.95,2.19,0.95,1.25,-4.69,-2.35,-2.34,-1.78,-2.21,0.42,-0.78,-0.41,-0.37,-3.4,-2.68,-0.71,,,,,,,,,,,,,,,,
Hassan Adams,,,,,,,,,,,,,,,,,,,-1.03,-0.59,-0.44,,,,-0.46,-0.89,0.43,,,,,,,
Kwame Brown,,,,,,,-1.28,-1.24,-0.05,-0.31,-0.9,0.59,-2.37,-1.58,-0.8,-1.78,-2.12,0.33,0.61,-0.36,0.97,-2.11,-2.99,0.88,1.57,1.72,-0.16,-1.04,-1.58,0.55,-3.17,-2.54,-0.63,
Ryan Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,-1.1,-0.01,
Chris Paul,4.51,3.88,0.62,5.27,2.5,2.77,3.42,3.69,-0.26,3.91,3.27,0.64,4.15,2.85,1.3,0.62,1.02,-0.4,4.85,3.01,1.84,2.53,3.85,-1.32,0.44,2.25,-1.81,0.39,-0.98,1.37,,,,
P.J. Brown,,,,,,,,,,,,,,,,,,,,,,-1.84,-1.65,-0.18,1.63,-0.97,2.6,-0.1,-0.47,0.36,-2.25,-1.03,-1.22,
Royal Ivey,,,,-0.43,-0.21,-0.22,-1.51,-1.56,0.05,-1.12,-0.73,-0.39,-1.35,-0.98,-0.37,0.1,0.12,-0.02,-2.87,-1.15,-1.72,-3.32,-1.72,-1.6,-1.64,-0.77,-0.87,-1.48,-1.26,-0.22,-0.61,-1.46,0.85,
Vlade Divac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.58,-1.04,-0.54,
Marcus Cousin,,,,,,,,,,,,,-1.12,-0.59,-0.53,,,,,,,,,,,,,,,,,,,
Craig Brackins,,,,,,,,,,-2.13,-1.07,-1.06,-1.03,-0.4,-0.63,,,,,,,,,,,,,,,,,,,
Michael Finley,,,,,,,,,,,,,,,,-0.93,0.25,-1.18,-1.25,0.38,-1.63,0.57,0.85,-0.29,-1.0,0.44,-1.44,-0.29,-0.3,0.0,1.38,2.0,-0.61,
Viktor Khryapa,,,,,,,,,,,,,,,,,,,,,,-0.21,-0.88,0.67,-0.88,-0.58,-0.31,-1.53,0.76,-2.29,-2.57,-2.37,-0.2,
Jared Sullinger,-0.35,0.06,-0.42,1.13,-0.03,1.16,1.06,0.16,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Ely,,,,-0.7,0.13,-0.84,,,,,,,-0.31,0.3,-0.61,,,,-0.88,-1.34,0.45,0.59,-0.42,1.01,-3.15,-3.01,-0.14,-0.6,-0.91,0.32,-0.59,-0.68,0.09,
Richard Jefferson,0.2,0.19,0.01,-2.49,-1.93,-0.56,-0.67,-0.8,0.12,-3.04,-2.09,-0.95,0.29,-0.18,0.46,2.13,0.72,1.42,-1.06,-1.15,0.08,-2.56,-0.82,-1.74,-0.59,-0.16,-0.43,0.92,0.28,0.64,-2.38,-1.66,-0.72,
Raul Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.21,1.52,
Joel Przybilla,,,,,,,-1.79,-0.63,-1.16,-1.58,-0.64,-0.94,-2.15,-1.22,-0.94,0.67,-1.43,2.1,2.11,-0.95,3.06,-0.14,-2.18,2.05,-0.08,-1.71,1.63,-0.87,-0.49,-0.39,-1.07,-1.16,0.09,
Morris Peterson,,,,,,,,,,,,,-0.37,-0.37,-0.01,-1.48,-0.59,-0.89,-1.42,-1.04,-0.38,0.04,0.05,-0.02,-2.18,-1.02,-1.15,-1.57,0.62,-2.19,-0.15,0.6,-0.76,
Hasheem Thabeet,,,,-0.94,-1.17,0.23,1.68,-0.51,2.2,-2.55,-1.88,-0.66,-3.41,-0.94,-2.47,-0.39,-0.86,0.47,,,,,,,,,,,,,,,,
Kyrie Irving,2.01,2.54,-0.53,-2.22,-0.62,-1.6,-0.56,0.31,-0.88,-0.01,1.6,-1.61,,,,,,,,,,,,,,,,,,,,,,
Steve Nash,,,,-1.49,-1.05,-0.44,-0.19,-0.07,-0.13,2.34,1.75,0.59,3.64,3.51,0.13,3.09,3.34,-0.25,3.13,3.46,-0.33,4.84,4.87,-0.03,4.71,4.42,0.29,4.23,3.74,0.49,4.43,5.26,-0.82,
Luol Deng,2.11,2.61,-0.5,1.72,0.4,1.32,0.47,-0.05,0.52,2.97,0.36,2.6,3.52,0.71,2.8,1.69,0.8,0.89,-0.28,-0.99,0.71,-0.06,1.01,-1.07,3.23,1.08,2.15,1.79,0.04,1.75,2.63,1.35,1.29,
Gani Lawal,,,,,,,,,,,,,-0.5,-0.27,-0.22,,,,,,,,,,,,,,,,,,,
Casper Ware,,,,0.09,-0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Arroyo,,,,,,,,,,,,,-0.45,-1.36,0.91,-1.07,-2.33,1.25,,,,-1.12,0.21,-1.33,-0.2,-1.1,0.9,0.46,0.35,0.12,-3.91,-1.77,-2.14,
Leandro Barbosa,-1.04,-0.34,-0.7,0.7,0.1,0.6,-0.94,-0.61,-0.33,-1.25,-0.29,-0.96,-1.6,0.43,-2.03,0.8,0.54,0.26,-0.74,0.18,-0.91,-1.09,1.41,-2.5,2.5,3.03,-0.53,-1.4,1.34,-2.74,-3.0,-2.01,-0.99,
C.J. McCollum,1.75,0.34,1.41,-0.12,-0.07,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Chalmers,-1.49,-1.64,0.15,1.78,1.67,0.11,3.96,1.9,2.06,1.59,-0.0,1.59,1.58,0.45,1.13,-1.76,-2.31,0.56,-0.35,-0.61,0.27,,,,,,,,,,,,,
Trevor Booker,0.15,0.65,-0.5,-2.48,0.41,-2.9,-3.15,-1.58,-1.57,0.03,1.05,-1.02,-1.4,-0.05,-1.35,,,,,,,,,,,,,,,,,,,
Orien Greene,,,,,,,,,,,,,-0.29,-0.06,-0.23,,,,,,,-0.95,-0.94,-0.0,-1.76,-1.61,-0.15,-2.46,-3.76,1.3,,,,
Josh Davis,,,,,,,,,,-1.64,-1.01,-0.63,,,,,,,,,,,,,,,,-0.99,-0.63,-0.36,0.21,-0.51,0.72,
Malik Rose,,,,,,,,,,,,,,,,,,,-0.36,-0.92,0.55,-0.98,-0.83,-0.15,-2.1,-1.16,-0.94,-2.68,-0.84,-1.84,-0.73,-0.89,0.15,
Chris Wilcox,,,,,,,-0.37,-0.24,-0.13,-2.3,-1.92,-0.38,0.15,1.11,-0.96,-3.38,-2.3,-1.08,-3.19,-1.84,-1.35,0.43,-0.6,1.03,1.1,2.06,-0.96,0.92,0.2,0.72,-2.16,-1.79,-0.37,
Robert Swift,,,,,,,,,,,,,,,,,,,-1.35,-0.58,-0.77,-1.45,-0.47,-0.98,,,,-1.04,-1.1,0.06,-1.44,-0.69,-0.75,
Robert Covington,0.84,0.7,0.15,0.12,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad McCants,,,,,,,,,,,,,,,,,,,-2.38,-2.11,-0.27,1.54,1.55,-0.01,-0.46,-0.27,-0.19,-2.36,-2.23,-0.13,,,,
Tyshawn Taylor,,,,-3.84,-1.57,-2.27,-2.15,-0.71,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,
Diante Garrett,,,,-0.68,-0.87,0.19,-2.11,-1.49,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Andersen,-0.37,-1.37,1.0,2.38,0.78,1.59,2.75,1.56,1.19,-0.09,-0.09,-0.0,0.3,-1.07,1.37,4.46,2.59,1.87,1.0,0.63,0.38,-0.2,-0.0,-0.2,,,,-0.5,-1.01,0.51,0.97,-0.22,1.19,
Ivan McFarlin,,,,,,,,,,,,,,,,,,,,,,,,,-0.72,-0.3,-0.42,,,,,,,
Derrick Favors,1.63,0.65,0.98,-1.69,-0.98,-0.71,-1.69,-1.54,-0.16,-0.06,-1.04,0.99,-1.81,-2.36,0.54,,,,,,,,,,,,,,,,,,,
Jabari Brown,-4.24,-1.55,-2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harrellson,,,,-0.33,-0.66,0.32,-0.51,-0.41,-0.1,1.9,-0.12,2.03,,,,,,,,,,,,,,,,,,,,,,
Shaun Livingston,0.1,-0.85,0.96,0.26,0.62,-0.35,-0.93,-0.28,-0.64,-1.48,-1.79,0.31,-0.86,-2.49,1.63,1.03,0.7,0.33,-1.92,-0.93,-1.0,,,,-2.97,-0.53,-2.45,-1.36,-2.02,0.66,-0.54,-0.65,0.11,
Kent Bazemore,-2.23,-1.64,-0.59,-3.69,-2.9,-0.79,-1.29,-1.39,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Hinrich,-1.67,-0.84,-0.83,0.58,-1.18,1.75,2.37,0.81,1.56,-0.95,-0.85,-0.09,-3.81,-3.04,-0.77,-1.02,-1.09,0.07,3.77,1.57,2.2,-0.76,-1.29,0.54,1.58,0.38,1.21,0.3,-0.1,0.4,-1.6,-1.62,0.02,
Michael Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.18,-1.88,-0.29,-0.11,-0.35,0.25,
Morris Almond,,,,,,,,,,0.56,0.12,0.44,,,,,,,-1.67,-2.1,0.43,-0.82,-0.46,-0.36,,,,,,,,,,
Sarunas Jasikevicius,,,,,,,,,,,,,,,,,,,,,,,,,-2.79,-2.2,-0.59,0.08,-1.23,1.31,,,,
Carmelo Anthony,0.95,2.64,-1.69,2.28,2.14,0.14,1.24,2.09,-0.85,0.09,0.58,-0.5,0.42,1.81,-1.4,1.72,1.64,0.08,3.8,3.42,0.38,-0.66,0.42,-1.08,0.55,1.84,-1.29,0.48,0.14,0.33,1.07,0.5,0.57,
Boris Diaw,1.19,0.61,0.58,1.92,1.73,0.19,0.44,1.14,-0.7,1.49,-0.31,1.8,-1.35,-1.09,-0.25,0.67,-0.02,0.69,0.19,-0.28,0.47,0.34,-0.78,1.12,-1.49,-0.3,-1.19,4.32,2.53,1.79,-0.69,-1.34,0.65,
Alan Henderson,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.91,0.09,-1.74,-1.16,-0.58,-3.78,-3.26,-0.52,
Donald Sloan,-1.52,-1.66,0.14,-2.27,-1.5,-0.77,-2.01,-2.01,-0.0,-4.09,-1.93,-2.16,,,,,,,,,,,,,,,,,,,,,,
Gary Payton,,,,,,,,,,,,,,,,,,,,,,,,,-2.91,-1.82,-1.09,-0.45,-1.52,1.07,0.44,1.58,-1.14,
Miroslav Raduljica,-0.5,-0.2,-0.3,-1.3,-0.55,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Splitter,1.85,0.42,1.44,2.42,-0.87,3.29,3.0,-0.28,3.29,0.94,1.48,-0.54,-1.43,-1.18,-0.25,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,-2.49,0.18,-2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,-0.41,-1.22,0.81,-0.86,-1.57,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Mahinmi,-0.71,-0.99,0.28,-0.31,-2.14,1.83,-3.51,-3.44,-0.07,1.31,-0.57,1.88,0.26,0.32,-0.07,-0.88,-1.33,0.45,,,,-0.73,-0.21,-0.52,,,,,,,,,,
Markieff Morris,2.3,-0.01,2.31,1.21,0.97,0.25,-3.51,-1.1,-2.41,-0.58,-0.88,0.3,,,,,,,,,,,,,,,,,,,,,,
Eduardo Najera,,,,,,,,,,-0.58,-0.33,-0.26,0.13,-0.39,0.52,-1.54,-1.51,-0.04,-2.73,-2.33,-0.4,3.16,1.48,1.69,-0.77,0.25,-1.02,0.61,-0.69,1.3,0.08,0.96,-0.87,
Andy Rautins,,,,,,,,,,,,,-0.74,-0.55,-0.2,,,,,,,,,,,,,,,,,,,
Desmon Farmer,,,,,,,,,,,,,,,,,,,-0.51,-0.01,-0.5,,,,0.03,-0.05,0.08,,,,,,,
Nick Fazekas,,,,,,,,,,,,,,,,,,,,,,0.66,-0.27,0.93,,,,,,,,,,
Dijon Thompson,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,-0.25,-0.45,-0.84,-0.5,-0.34,,,,
Serge Ibaka,2.64,0.55,2.09,4.01,1.87,2.14,0.92,0.03,0.89,1.48,0.6,0.88,0.32,-0.17,0.48,-0.95,-1.75,0.8,,,,,,,,,,,,,,,,
Shareef Abdur-Rahim,,,,,,,,,,,,,,,,,,,,,,-0.39,-0.37,-0.02,-2.26,-1.27,-0.99,1.49,1.39,0.09,-2.02,-0.71,-1.31,
Ruben Patterson,,,,,,,,,,,,,,,,,,,,,,-0.19,-0.16,-0.03,-0.1,0.92,-1.02,-1.03,0.01,-1.04,0.93,0.83,0.11,
Kelenna Azubuike,,,,,,,,,,-0.52,-0.56,0.04,,,,-1.53,-1.12,-0.41,-0.65,-0.61,-0.03,-0.71,-0.08,-0.63,-3.97,-2.19,-1.78,,,,,,,
Milt Palacio,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,-2.1,0.3,-0.21,0.3,-0.51,
Mo Williams,0.25,0.26,-0.01,-1.43,0.1,-1.53,-0.45,-0.53,0.08,-1.55,-0.24,-1.3,-3.79,-2.24,-1.55,-0.59,-0.68,0.09,1.97,0.94,1.03,-0.95,-0.15,-0.81,-0.52,0.48,-1.0,-2.59,-0.71,-1.88,-0.15,0.32,-0.47,
Adam Morrison,,,,,,,,,,,,,,,,-1.18,-0.68,-0.5,-2.51,-1.23,-1.29,,,,-3.38,-2.36,-1.02,,,,,,,
Dan Gadzuric,,,,,,,,,,-0.48,-0.36,-0.13,-1.74,-1.53,-0.2,0.59,-1.25,1.83,-0.28,0.54,-0.82,-0.97,-1.3,0.32,-1.55,-0.64,-0.92,-0.13,-0.31,0.18,0.52,-0.06,0.58,
Samaki Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.62,-0.18,-1.17,-0.69,-0.48,
Alex Acker,,,,,,,,,,,,,,,,,,,-0.3,-0.12,-0.17,,,,,,,-1.38,-0.64,-0.74,,,,
Dwyane Wade,-0.87,0.3,-1.17,-0.66,-0.7,0.05,1.87,0.9,0.98,4.2,2.57,1.63,3.66,3.24,0.42,5.22,4.69,0.52,4.05,2.82,1.23,0.68,1.76,-1.08,1.85,1.91,-0.06,6.28,4.41,1.87,1.19,1.86,-0.67,
Eric Williams,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,-0.23,-0.1,-1.1,-0.76,-0.35,-1.82,-2.15,0.33,
James Jones,-2.77,-0.25,-2.52,2.22,1.92,0.31,-0.8,-1.31,0.51,-1.81,-1.56,-0.25,1.2,1.16,0.04,-1.12,-0.85,-0.27,0.3,0.31,-0.01,0.69,1.51,-0.82,0.22,-0.52,0.74,0.65,1.94,-1.29,0.99,-0.49,1.48,
Zach Randolph,4.03,1.54,2.48,1.87,1.24,0.63,0.41,-0.17,0.58,2.1,1.5,0.6,2.02,1.58,0.44,0.28,0.79,-0.51,1.12,0.37,0.76,-1.24,-0.42,-0.82,-0.54,0.39,-0.93,-1.57,-0.67,-0.9,-0.41,-0.97,0.56,
Jonas Jerebko,2.29,0.87,1.43,-1.75,-0.92,-0.83,-1.46,-0.23,-1.23,-0.85,-0.69,-0.16,,,,-0.01,0.06,-0.07,,,,,,,,,,,,,,,,
Alexander Johnson,,,,,,,,,,,,,,,,,,,,,,-2.75,-0.79,-1.96,-0.41,0.66,-1.07,,,,,,,
Shammond Williams,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,-1.34,-0.31,,,,,,,
Tim Ohlbrecht,,,,,,,-0.54,-0.39,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
Samardo Samuels,,,,,,,-0.65,-0.48,-0.17,-0.85,-2.18,1.33,-2.13,-1.66,-0.47,,,,,,,,,,,,,,,,,,,
Darren Collison,1.44,0.75,0.69,-0.11,0.79,-0.9,-0.75,0.66,-1.41,-2.46,-1.07,-1.39,-1.8,-0.42,-1.38,-1.64,-0.68,-0.95,,,,,,,,,,,,,,,,
Latrell Sprewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-1.06,0.59,
Tony Wroten,-3.26,-0.68,-2.58,-3.56,-2.26,-1.3,-2.28,-1.46,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Jenkins,,,,,,,-0.75,-1.39,0.64,-3.62,-2.55,-1.08,,,,,,,,,,,,,,,,,,,,,,
Ricky Ledo,-1.61,-0.71,-0.9,-0.17,-0.1,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Glyniadakis,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,-0.79,-0.27,,,,,,,
Delonte West,,,,,,,,,,-1.17,-2.54,1.37,-3.49,-2.86,-0.63,0.8,-0.3,1.1,3.6,1.33,2.28,-0.57,-1.67,1.1,-2.23,-1.13,-1.09,1.95,1.42,0.53,-0.84,-1.15,0.31,
Anthony Davis,4.82,2.8,2.02,1.35,1.1,0.25,-1.65,-0.73,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,
Renaldo Major,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.06,0.09,,,,,,,
Ray McCallum,-3.62,-1.27,-2.35,-0.79,0.05,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Jackson,,,,,,,,,,,,,-2.12,-1.94,-0.18,-1.47,-1.17,-0.3,-2.3,-0.63,-1.67,,,,,,,,,,,,,
John Wall,2.04,0.59,1.45,0.49,0.15,0.34,1.23,1.03,0.2,-1.12,-0.34,-0.78,-4.07,-2.39,-1.68,,,,,,,,,,,,,,,,,,,
Josh Powell,,,,-0.55,-0.4,-0.14,,,,,,,-2.5,-1.54,-0.97,-2.55,-1.41,-1.15,-4.62,-3.13,-1.48,-4.44,-1.69,-2.75,-3.6,-2.39,-1.22,-1.06,0.12,-1.18,,,,
Dwight Buycks,-1.49,-0.61,-0.89,-0.13,-0.29,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny O'Bryant,-3.59,-2.37,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikki Moore,,,,,,,,,,-0.64,-0.65,0.01,,,,-1.82,-2.0,0.18,-1.59,-1.38,-0.21,-0.7,-0.66,-0.04,1.58,0.9,0.68,-0.43,0.42,-0.85,-1.28,-0.85,-0.43,
Kevin Martin,-2.39,-0.41,-1.99,-1.38,-0.44,-0.93,2.47,2.94,-0.46,-0.48,0.25,-0.74,-0.35,1.56,-1.91,-2.03,-0.08,-1.95,-1.54,1.42,-2.96,-0.79,2.15,-2.94,-1.66,0.18,-1.85,0.15,0.18,-0.03,-0.26,-0.29,0.04,
Tarik Black,-1.45,-0.93,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,-0.32,-0.3,,,,
Xavier Silas,,,,,,,,,,-0.69,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,
Cheikh Samb,,,,,,,,,,,,,,,,,,,-0.38,-0.69,0.31,-0.29,-0.06,-0.23,,,,,,,,,,
Didier Ilunga-Mbenga,,,,,,,,,,,,,-0.54,-1.23,0.69,-0.94,-1.35,0.41,-0.59,-1.33,0.74,-0.23,-0.42,0.19,-0.95,-0.52,-0.43,-0.68,-0.92,0.24,-1.52,-0.96,-0.56,
Chris Quinn,,,,,,,-0.1,-0.53,0.44,,,,-0.84,-0.21,-0.62,-1.22,-0.68,-0.54,-0.72,0.03,-0.75,-1.29,0.02,-1.31,-0.34,-0.57,0.23,,,,,,,
Jerome Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,-0.25,0.97,
Mehmet Okur,,,,,,,,,,-2.61,-1.52,-1.09,-1.88,-0.24,-1.64,0.46,-0.35,0.81,0.75,1.05,-0.3,1.79,1.14,0.65,-1.07,1.33,-2.4,-0.27,0.83,-1.09,-0.67,-0.68,0.01,
Keyon Dooling,,,,,,,-0.75,-0.26,-0.49,-4.02,-2.18,-1.84,1.55,0.19,1.36,0.37,-0.57,0.94,-3.88,-1.2,-2.68,0.69,-1.05,1.74,-0.35,0.81,-1.15,1.11,-0.38,1.49,-0.28,-1.08,0.79,
Andre Barrett,,,,,,,,,,,,,,,,,,,,,,-0.95,-0.49,-0.45,-0.33,-0.5,0.16,-1.15,0.01,-1.16,-0.67,-0.61,-0.06,
Brandon Bass,-1.32,-1.21,-0.11,-3.33,-2.07,-1.26,-2.51,-1.15,-1.37,0.76,-0.4,1.16,0.38,-2.26,2.65,-0.1,0.6,-0.71,0.98,1.81,-0.83,-2.37,-1.52,-0.85,-1.12,-0.51,-0.6,-2.09,-1.26,-0.82,,,,
Lance Allred,,,,,,,,,,,,,,,,,,,,,,-0.9,-0.43,-0.47,,,,,,,,,,
Esteban Batista,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.28,-0.02,-0.16,0.07,-0.23,,,,
Jason Kapono,,,,,,,,,,0.71,0.13,0.57,-0.31,0.11,-0.41,-2.58,-1.18,-1.4,-1.48,-0.51,-0.97,-0.24,-0.63,0.39,-0.43,0.26,-0.68,-3.54,-2.66,-0.88,-0.57,-0.92,0.35,
Nick Collison,0.97,-0.33,1.29,3.49,1.45,2.04,3.25,1.87,1.38,2.64,1.9,0.74,4.6,2.47,2.13,3.81,0.84,2.98,-1.34,-1.73,0.39,-0.76,0.15,-0.91,0.25,-0.67,0.92,1.06,1.63,-0.57,0.86,-0.17,1.03,
Kemba Walker,-1.87,-0.85,-1.02,2.73,0.25,2.47,-2.03,-1.03,-1.0,-4.63,-3.28,-1.35,,,,,,,,,,,,,,,,,,,,,,
Mario Kasun,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.75,0.03,-0.78,-0.69,-0.0,-0.69,
Devin Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.76,-0.87,-0.89,,,,
Erik Murphy,,,,-1.99,-1.38,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza Teletovic,0.48,-1.08,1.55,-1.68,0.59,-2.27,-1.11,-0.66,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,-1.03,-1.66,0.63,-1.58,-1.05,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,-0.91,0.69,-1.61,1.58,1.92,-0.33,-2.74,-1.76,-0.98,-1.22,-1.01,-0.22,,,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,2.96,2.88,0.09,3.55,2.2,1.36,0.94,0.41,0.53,1.83,0.74,1.09,2.28,0.77,1.51,1.87,0.83,1.04,2.8,2.31,0.49,0.07,0.15,-0.08,1.22,0.74,0.49,,,,,,,
Antoine Walker,,,,,,,,,,,,,,,,,,,,,,-0.18,-0.94,0.76,0.6,-0.2,0.8,0.2,-0.09,0.29,-3.75,-2.34,-1.41,
