name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Lucas Nogueira,-0.85,-0.45,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peyton Siva,,,,-1.15,-0.38,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Jawai,,,,,,,,,,,,,,,,-1.24,-1.25,0.01,-0.73,-0.5,-0.22,,,,,,,,,,,,,
C.J. Watson,-0.24,-0.25,0.01,0.57,-0.69,1.26,-0.68,-0.5,-0.19,-2.28,-0.81,-1.46,0.09,-2.31,2.4,1.19,0.24,0.95,-1.09,0.15,-1.24,-0.39,-0.12,-0.27,,,,,,,,,,
Jacque Vaughn,,,,,,,,,,,,,,,,,,,-1.48,-1.7,0.22,-1.84,-2.36,0.52,1.96,0.15,1.8,-3.77,-3.7,-0.06,-3.17,-2.05,-1.12,
Chucky Atkins,,,,,,,,,,,,,,,,-1.49,-0.58,-0.91,-1.56,-1.29,-0.27,-1.41,-1.07,-0.34,-0.36,2.05,-2.41,-2.43,-1.44,-0.99,-0.28,2.03,-2.31,
Dante Exum,0.85,-0.32,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Kelly,-1.84,-0.99,-0.85,0.47,1.7,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Harris,,,,-0.6,-0.12,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Kennedy,,,,,,,,,,-1.19,-0.63,-0.56,,,,,,,,,,,,,,,,,,,,,,
Dikembe Mutombo,,,,,,,,,,,,,,,,,,,-0.03,-0.06,0.04,0.35,-1.07,1.42,1.35,-1.4,2.75,-0.05,-0.34,0.29,3.73,-0.45,4.19,
Darrell Arthur,1.16,-1.4,2.57,1.58,-0.44,2.01,-3.58,-1.68,-1.9,,,,-0.35,-2.67,2.32,-2.58,-1.53,-1.05,-0.91,-1.3,0.39,,,,,,,,,,,,,
Walter Herrmann,,,,,,,,,,,,,,,,,,,0.33,0.06,0.28,-1.83,-1.36,-0.47,-0.54,-0.43,-0.1,,,,,,,
Brendan Haywood,-1.7,-1.29,-0.41,,,,-0.23,-1.02,0.79,0.7,-0.45,1.15,-1.27,-0.69,-0.58,2.29,0.41,1.88,-0.46,-0.48,0.02,0.56,0.11,0.45,0.94,-0.82,1.76,-0.15,-1.98,1.83,3.51,0.08,3.43,
Timofey Mozgov,3.41,0.75,2.67,1.1,0.35,0.75,-2.33,-1.56,-0.77,-1.33,0.04,-1.37,-1.74,-1.45,-0.28,,,,,,,,,,,,,,,,,,,
Alonzo Mourning,,,,,,,,,,,,,,,,,,,,,,0.68,-0.56,1.24,-0.84,-1.18,0.34,3.51,1.62,1.89,-1.03,-1.74,0.71,
Meyers Leonard,-0.22,-1.31,1.08,-2.47,-1.59,-0.88,-2.91,-1.65,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,
Arnett Moultrie,,,,-2.13,-0.7,-1.43,-2.01,-0.5,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,
Nenad Krstic,,,,,,,,,,,,,-1.07,-0.82,-0.25,-0.87,-0.92,0.05,-0.64,-1.5,0.86,-0.99,-1.96,0.97,-1.0,-1.07,0.07,1.28,0.37,0.91,1.18,0.68,0.5,
Willie Green,-1.69,-2.56,0.86,0.45,-0.69,1.14,0.05,-0.43,0.48,-3.49,-1.44,-2.04,-0.16,-1.36,1.2,-1.01,-0.33,-0.69,-1.25,-0.49,-0.76,-0.68,-0.69,0.0,-3.18,-1.37,-1.81,-1.4,-0.74,-0.66,-1.9,-2.33,0.42,
Kenny Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.03,-1.42,-0.61,
Jon Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.82,-0.48,-1.34,3.04,1.68,1.36,
Justin Dentmon,,,,,,,-0.53,-0.24,-0.29,-0.87,-1.22,0.35,,,,,,,,,,,,,,,,,,,,,,
Paul Davis,,,,,,,,,,,,,,,,-0.39,-0.27,-0.12,-0.63,-0.9,0.27,-2.01,-1.56,-0.46,-1.39,-1.28,-0.11,,,,,,,
Joe Harris,-3.89,-1.12,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence Weatherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.05,0.94,
Toney Douglas,-0.51,-0.08,-0.43,-0.81,-0.58,-0.23,1.85,2.14,-0.29,-1.27,-1.13,-0.14,-0.56,-0.04,-0.52,-1.84,0.32,-2.16,,,,,,,,,,,,,,,,
Justin Holiday,-0.88,-1.19,0.31,,,,0.43,0.16,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Hill,,,,,,,,,,,,,,,,,,,-0.31,-0.21,-0.1,,,,,,,,,,,,,
James Posey,,,,,,,,,,,,,-1.33,-2.38,1.04,-0.21,0.5,-0.71,-0.05,-0.73,0.68,-1.47,-1.28,-0.19,-0.02,-0.21,0.19,1.74,1.69,0.05,-2.51,-2.07,-0.44,
Austin Rivers,-2.02,-1.53,-0.48,0.53,1.53,-1.0,-1.58,-0.91,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,
